"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2019","737.00","737.00","737.00","737.00","-","-0.67%"
"Mar 08, 2019","742.00","742.00","742.00","742.00","-","-0.67%"
"Mar 07, 2019","747.00","747.00","747.00","747.00","-","-0.80%"
"Mar 06, 2019","753.00","753.00","753.00","753.00","-","-0.13%"
"Mar 05, 2019","754.00","754.00","754.00","754.00","-","-1.05%"
"Mar 04, 2019","762.00","762.00","762.00","762.00","-","-1.55%"
"Mar 01, 2019","774.00","774.00","774.00","774.00","-","-0.90%"
"Feb 28, 2019","781.00","781.00","781.00","781.00","-","-1.88%"
"Feb 27, 2019","796.00","796.00","796.00","796.00","-","-0.38%"
"Feb 26, 2019","799.00","799.00","799.00","799.00","-","-0.25%"
"Feb 25, 2019","801.00","801.00","801.00","801.00","-","-2.67%"
"Feb 22, 2019","823.00","823.00","823.00","823.00","-","-0.60%"
"Feb 21, 2019","828.00","828.00","828.00","828.00","-","-0.36%"
"Feb 20, 2019","831.00","831.00","831.00","831.00","-","0.36%"
"Feb 19, 2019","828.00","828.00","828.00","828.00","-","1.10%"
"Feb 18, 2019","819.00","819.00","819.00","819.00","-","0.12%"
"Feb 15, 2019","818.00","818.00","818.00","818.00","-","1.49%"
"Feb 14, 2019","806.00","806.00","806.00","806.00","-","1.00%"
"Feb 13, 2019","798.00","798.00","798.00","798.00","-","1.01%"
"Feb 12, 2019","790.00","790.00","790.00","790.00","-","-0.13%"
"Feb 11, 2019","791.00","791.00","791.00","791.00","-","-0.50%"
"Feb 08, 2019","795.00","795.00","795.00","795.00","-","-0.25%"
"Feb 07, 2019","797.00","797.00","797.00","797.00","-","-0.99%"
"Feb 06, 2019","805.00","805.00","805.00","805.00","-","-0.12%"
"Feb 05, 2019","806.00","806.00","806.00","806.00","-","-2.18%"
"Feb 04, 2019","824.00","824.00","824.00","824.00","-","-2.25%"
"Feb 01, 2019","843.00","843.00","843.00","843.00","-","-0.59%"
"Jan 31, 2019","848.00","848.00","848.00","848.00","-","-1.28%"
"Jan 30, 2019","859.00","859.00","859.00","859.00","-","-1.49%"
"Jan 29, 2019","872.00","872.00","872.00","872.00","-","-0.23%"
"Jan 28, 2019","874.00","874.00","874.00","874.00","-","-0.34%"
"Jan 25, 2019","877.00","877.00","877.00","877.00","-","0.23%"
"Jan 24, 2019","875.00","875.00","875.00","875.00","-","1.04%"
"Jan 23, 2019","866.00","866.00","866.00","866.00","-","-0.23%"
"Jan 22, 2019","868.00","868.00","868.00","868.00","-","-0.80%"
"Jan 21, 2019","875.00","875.00","875.00","875.00","-","0.23%"
"Jan 18, 2019","873.00","873.00","873.00","873.00","-","-2.02%"
"Jan 17, 2019","891.00","891.00","891.00","891.00","-","-0.89%"
"Jan 16, 2019","899.00","899.00","899.00","899.00","-","-2.28%"
"Jan 15, 2019","920.00","920.00","920.00","920.00","-","-0.54%"
"Jan 14, 2019","925.00","925.00","925.00","925.00","-","-0.43%"
"Jan 11, 2019","929.00","929.00","929.00","929.00","-","-0.11%"
"Jan 10, 2019","930.00","930.00","930.00","930.00","-","-2.82%"
"Jan 09, 2019","957.00","957.00","957.00","957.00","-","-1.03%"
"Jan 08, 2019","967.00","967.00","967.00","967.00","-","-0.62%"
"Jan 07, 2019","973.00","973.00","973.00","973.00","-","-0.92%"
"Jan 04, 2019","982.00","982.00","982.00","982.00","-","-1.70%"
"Jan 03, 2019","999.00","999.00","999.00","999.00","-","-0.99%"
"Jan 02, 2019","1,009.00","1,009.00","1,009.00","1,009.00","-","-19.67%"
"Dec 21, 2018","1,256.00","1,256.00","1,256.00","1,256.00","-","-0.16%"
"Dec 20, 2018","1,258.00","1,258.00","1,258.00","1,258.00","-","-0.63%"
"Dec 19, 2018","1,266.00","1,266.00","1,266.00","1,266.00","-","2.10%"
"Dec 18, 2018","1,240.00","1,240.00","1,240.00","1,240.00","-","0.81%"
"Dec 17, 2018","1,230.00","1,230.00","1,230.00","1,230.00","-","0.57%"
"Dec 14, 2018","1,223.00","1,223.00","1,223.00","1,223.00","-","0.00%"
"Dec 13, 2018","1,223.00","1,223.00","1,223.00","1,223.00","-","0.41%"
"Dec 12, 2018","1,218.00","1,218.00","1,218.00","1,218.00","-","0.50%"
"Dec 11, 2018","1,212.00","1,212.00","1,212.00","1,212.00","-","2.71%"
"Dec 10, 2018","1,180.00","1,180.00","1,180.00","1,180.00","-","1.11%"
"Dec 07, 2018","1,167.00","1,167.00","1,167.00","1,167.00","-","-0.09%"
"Dec 06, 2018","1,168.00","1,168.00","1,168.00","1,168.00","-","0.69%"
"Dec 05, 2018","1,160.00","1,160.00","1,160.00","1,160.00","-","1.22%"
"Dec 04, 2018","1,146.00","1,146.00","1,146.00","1,146.00","-","1.51%"
"Dec 03, 2018","1,129.00","1,129.00","1,129.00","1,129.00","-","-0.27%"
"Nov 30, 2018","1,132.00","1,132.00","1,132.00","1,132.00","-","-0.26%"
"Nov 29, 2018","1,135.00","1,135.00","1,135.00","1,135.00","-","0.18%"
"Nov 28, 2018","1,133.00","1,133.00","1,133.00","1,133.00","-","0.18%"
"Nov 27, 2018","1,131.00","1,131.00","1,131.00","1,131.00","-","0.35%"
"Nov 26, 2018","1,127.00","1,127.00","1,127.00","1,127.00","-","-0.27%"
"Nov 23, 2018","1,130.00","1,130.00","1,130.00","1,130.00","-","0.36%"
"Nov 22, 2018","1,126.00","1,126.00","1,126.00","1,126.00","-","1.99%"
"Nov 21, 2018","1,104.00","1,104.00","1,104.00","1,104.00","-","-0.27%"
"Nov 20, 2018","1,107.00","1,107.00","1,107.00","1,107.00","-","0.36%"
"Nov 19, 2018","1,103.00","1,103.00","1,103.00","1,103.00","-","-0.27%"
"Nov 16, 2018","1,106.00","1,106.00","1,106.00","1,106.00","-","0.64%"
"Nov 15, 2018","1,099.00","1,099.00","1,099.00","1,099.00","-","0.73%"
"Nov 14, 2018","1,091.00","1,091.00","1,091.00","1,091.00","-","0.83%"
"Nov 13, 2018","1,082.00","1,082.00","1,082.00","1,082.00","-","-0.37%"
"Nov 12, 2018","1,086.00","1,086.00","1,086.00","1,086.00","-","-0.55%"
"Nov 09, 2018","1,092.00","1,092.00","1,092.00","1,092.00","-","-0.46%"
"Nov 08, 2018","1,097.00","1,097.00","1,097.00","1,097.00","-","-0.63%"
"Nov 07, 2018","1,104.00","1,104.00","1,104.00","1,104.00","-","-1.08%"
"Nov 06, 2018","1,116.00","1,116.00","1,116.00","1,116.00","-","-1.59%"
"Nov 05, 2018","1,134.00","1,134.00","1,134.00","1,134.00","-","-0.79%"
"Nov 02, 2018","1,143.00","1,143.00","1,143.00","1,143.00","-","-0.78%"
"Nov 01, 2018","1,152.00","1,152.00","1,152.00","1,152.00","-","-0.43%"
"Oct 31, 2018","1,157.00","1,157.00","1,157.00","1,157.00","-","0.61%"
"Oct 30, 2018","1,150.00","1,150.00","1,150.00","1,150.00","-","-0.26%"
"Oct 29, 2018","1,153.00","1,153.00","1,153.00","1,153.00","-","1.05%"
"Oct 26, 2018","1,141.00","1,141.00","1,141.00","1,141.00","-","1.78%"
"Oct 25, 2018","1,121.00","1,121.00","1,121.00","1,121.00","-","2.00%"
"Oct 24, 2018","1,099.00","1,099.00","1,099.00","1,099.00","-","3.10%"
"Oct 23, 2018","1,066.00","1,066.00","1,066.00","1,066.00","-","1.43%"
"Oct 22, 2018","1,051.00","1,051.00","1,051.00","1,051.00","-","2.64%"
"Oct 19, 2018","1,024.00","1,024.00","1,024.00","1,024.00","-","3.64%"
"Oct 18, 2018","988.00","988.00","988.00","988.00","-","2.60%"
"Oct 17, 2018","963.00","963.00","963.00","963.00","-","1.69%"
"Oct 16, 2018","947.00","947.00","947.00","947.00","-","2.71%"
"Oct 15, 2018","922.00","922.00","922.00","922.00","-","0.11%"
"Oct 12, 2018","921.00","921.00","921.00","921.00","-","0.88%"
"Oct 11, 2018","913.00","913.00","913.00","913.00","-","2.58%"
"Oct 10, 2018","890.00","890.00","890.00","890.00","-","1.71%"
"Oct 09, 2018","875.00","875.00","875.00","875.00","-","1.98%"
"Oct 08, 2018","858.00","858.00","858.00","858.00","-","0.59%"
"Oct 05, 2018","853.00","853.00","853.00","853.00","-","1.91%"
"Oct 04, 2018","837.00","837.00","837.00","837.00","-","3.59%"
"Oct 03, 2018","808.00","808.00","808.00","808.00","-","0.87%"
"Oct 02, 2018","801.00","801.00","801.00","801.00","-","1.01%"
"Oct 01, 2018","793.00","793.00","793.00","793.00","-","0.25%"
"Sep 28, 2018","791.00","791.00","791.00","791.00","-","-1.74%"
"Sep 27, 2018","805.00","805.00","805.00","805.00","-","0.12%"
"Sep 26, 2018","804.00","804.00","804.00","804.00","-","0.37%"
"Sep 25, 2018","801.00","801.00","801.00","801.00","-","0.88%"
"Sep 24, 2018","794.00","794.00","794.00","794.00","-","0.38%"
"Sep 21, 2018","791.00","791.00","791.00","791.00","-","1.41%"
"Sep 20, 2018","780.00","780.00","780.00","780.00","-","0.91%"
"Sep 19, 2018","773.00","773.00","773.00","773.00","-","0.91%"
"Sep 18, 2018","766.00","766.00","766.00","766.00","-","0.39%"
"Sep 17, 2018","763.00","763.00","763.00","763.00","-","-0.26%"
"Sep 14, 2018","765.00","765.00","765.00","765.00","-","-0.65%"
"Sep 13, 2018","770.00","770.00","770.00","770.00","-","0.13%"
"Sep 12, 2018","769.00","769.00","769.00","769.00","-","-0.65%"
"Sep 11, 2018","774.00","774.00","774.00","774.00","-","-1.28%"
"Sep 10, 2018","784.00","784.00","784.00","784.00","-","-0.13%"
"Sep 07, 2018","785.00","785.00","785.00","785.00","-","0.90%"
"Sep 06, 2018","778.00","778.00","778.00","778.00","-","0.00%"
"Sep 05, 2018","778.00","778.00","778.00","778.00","-","0.78%"
"Sep 04, 2018","772.00","772.00","772.00","772.00","-","-1.03%"
"Sep 03, 2018","780.00","780.00","780.00","780.00","-","-0.76%"
"Aug 31, 2018","786.00","786.00","786.00","786.00","-","-0.13%"
"Aug 30, 2018","787.00","787.00","787.00","787.00","-","-0.25%"
"Aug 29, 2018","789.00","789.00","789.00","789.00","-","-0.75%"
"Aug 28, 2018","795.00","795.00","795.00","795.00","-","-1.12%"
"Aug 24, 2018","804.00","804.00","804.00","804.00","-","1.26%"
"Aug 23, 2018","794.00","794.00","794.00","794.00","-","0.38%"
"Aug 22, 2018","791.00","791.00","791.00","791.00","-","-0.13%"
"Aug 21, 2018","792.00","792.00","792.00","792.00","-","2.33%"
"Aug 20, 2018","774.00","774.00","774.00","774.00","-","2.79%"
"Aug 17, 2018","753.00","753.00","753.00","753.00","-","2.31%"
"Aug 16, 2018","736.00","736.00","736.00","736.00","-","0.68%"
"Aug 15, 2018","731.00","731.00","731.00","731.00","-","1.11%"
"Aug 14, 2018","723.00","723.00","723.00","723.00","-","1.12%"
"Aug 13, 2018","715.00","715.00","715.00","715.00","-","0.28%"
"Aug 10, 2018","713.00","713.00","713.00","713.00","-","-0.56%"
"Aug 09, 2018","717.00","717.00","717.00","717.00","-","-1.10%"
"Aug 08, 2018","725.00","725.00","725.00","725.00","-","-1.09%"
"Aug 07, 2018","733.00","733.00","733.00","733.00","-","-2.14%"
"Aug 06, 2018","749.00","749.00","749.00","749.00","-","-1.19%"
"Aug 03, 2018","758.00","758.00","758.00","758.00","-","0.26%"
"Aug 02, 2018","756.00","756.00","756.00","756.00","-","-0.53%"
"Aug 01, 2018","760.00","760.00","760.00","760.00","-","-1.04%"
"Jul 31, 2018","768.00","768.00","768.00","768.00","-","0.00%"
"Jul 30, 2018","768.00","768.00","768.00","768.00","-","1.19%"
"Jul 27, 2018","759.00","759.00","759.00","759.00","-","0.53%"
"Jul 26, 2018","755.00","755.00","755.00","755.00","-","0.27%"
"Jul 25, 2018","753.00","753.00","753.00","753.00","-","0.67%"
"Jul 24, 2018","748.00","748.00","748.00","748.00","-","2.89%"
"Jul 23, 2018","727.00","727.00","727.00","727.00","-","0.55%"
"Jul 20, 2018","723.00","723.00","723.00","723.00","-","1.40%"
"Jul 19, 2018","713.00","713.00","713.00","713.00","-","-0.14%"
"Jul 18, 2018","714.00","714.00","714.00","714.00","-","-1.24%"
"Jul 17, 2018","723.00","723.00","723.00","723.00","-","-2.03%"
"Jul 16, 2018","738.00","738.00","738.00","738.00","-","-0.81%"
"Jul 13, 2018","744.00","744.00","744.00","744.00","-","0.81%"
"Jul 12, 2018","738.00","738.00","738.00","738.00","-","-0.40%"
"Jul 11, 2018","741.00","741.00","741.00","741.00","-","1.23%"
"Jul 10, 2018","732.00","732.00","732.00","732.00","-","0.41%"
"Jul 09, 2018","729.00","729.00","729.00","729.00","-","1.11%"
"Jul 06, 2018","721.00","721.00","721.00","721.00","-","1.55%"
"Jul 05, 2018","710.00","710.00","710.00","710.00","-","0.71%"
"Jul 04, 2018","705.00","705.00","705.00","705.00","-","0.43%"
"Jul 03, 2018","702.00","702.00","702.00","702.00","-","-0.43%"
"Jul 02, 2018","705.00","705.00","705.00","705.00","-","-0.98%"
"Jun 29, 2018","712.00","712.00","712.00","712.00","-","-1.66%"
"Jun 28, 2018","724.00","724.00","724.00","724.00","-","-0.41%"
"Jun 27, 2018","727.00","727.00","727.00","727.00","-","-1.09%"
"Jun 26, 2018","735.00","735.00","735.00","735.00","-","-1.34%"
"Jun 25, 2018","745.00","745.00","745.00","745.00","-","0.00%"
"Jun 22, 2018","745.00","745.00","745.00","745.00","-","0.40%"
"Jun 21, 2018","742.00","742.00","742.00","742.00","-","-0.13%"
"Jun 20, 2018","743.00","743.00","743.00","743.00","-","0.00%"
"Jun 19, 2018","743.00","743.00","743.00","743.00","-","0.95%"
"Jun 18, 2018","736.00","736.00","736.00","736.00","-","-1.34%"
"Jun 15, 2018","746.00","746.00","746.00","746.00","-","-1.84%"
"Jun 14, 2018","760.00","760.00","760.00","760.00","-","-1.04%"
"Jun 13, 2018","768.00","768.00","768.00","768.00","-","2.26%"
"Jun 12, 2018","751.00","751.00","751.00","751.00","-","0.67%"
"Jun 11, 2018","746.00","746.00","746.00","746.00","-","1.63%"
"Jun 08, 2018","734.00","734.00","734.00","734.00","-","0.41%"
"Jun 07, 2018","731.00","731.00","731.00","731.00","-","-0.54%"
"Jun 06, 2018","735.00","735.00","735.00","735.00","-","-1.34%"
"Jun 05, 2018","745.00","745.00","745.00","745.00","-","-0.53%"
"Jun 04, 2018","749.00","749.00","749.00","749.00","-","-0.66%"
"Jun 01, 2018","754.00","754.00","754.00","754.00","-","0.00%"
"May 31, 2018","754.00","754.00","754.00","754.00","-","-1.82%"
"May 30, 2018","768.00","768.00","768.00","768.00","-","-1.41%"
"May 29, 2018","779.00","779.00","779.00","779.00","-","-0.26%"
"May 25, 2018","781.00","781.00","781.00","781.00","-","0.64%"
"May 24, 2018","776.00","776.00","776.00","776.00","-","1.97%"
"May 23, 2018","761.00","761.00","761.00","761.00","-","1.74%"
"May 22, 2018","748.00","748.00","748.00","748.00","-","2.61%"
"May 21, 2018","729.00","729.00","729.00","729.00","-","2.10%"
"May 18, 2018","714.00","714.00","714.00","714.00","-","3.18%"
"May 17, 2018","692.00","692.00","692.00","692.00","-","1.62%"
"May 16, 2018","681.00","681.00","681.00","681.00","-","2.10%"
"May 15, 2018","667.00","667.00","667.00","667.00","-","1.68%"
"May 14, 2018","656.00","656.00","656.00","656.00","-","-0.15%"
"May 11, 2018","657.00","657.00","657.00","657.00","-","0.15%"
"May 10, 2018","656.00","656.00","656.00","656.00","-","0.00%"
"May 09, 2018","656.00","656.00","656.00","656.00","-","0.15%"
"May 08, 2018","655.00","655.00","655.00","655.00","-","0.77%"
"May 04, 2018","650.00","650.00","650.00","650.00","-","0.31%"
"May 03, 2018","648.00","648.00","648.00","648.00","-","0.15%"
"May 02, 2018","647.00","647.00","647.00","647.00","-","-1.22%"
"May 01, 2018","655.00","655.00","655.00","655.00","-","-0.15%"
"Apr 30, 2018","656.00","656.00","656.00","656.00","-","0.15%"
"Apr 27, 2018","655.00","655.00","655.00","655.00","-","1.08%"
"Apr 26, 2018","648.00","648.00","648.00","648.00","-","1.41%"
"Apr 25, 2018","639.00","639.00","639.00","639.00","-","0.31%"
"Apr 24, 2018","637.00","637.00","637.00","637.00","-","-0.31%"
"Apr 23, 2018","639.00","639.00","639.00","639.00","-","0.31%"
"Apr 20, 2018","637.00","637.00","637.00","637.00","-","0.00%"
"Apr 19, 2018","637.00","637.00","637.00","637.00","-","0.31%"
"Apr 18, 2018","635.00","635.00","635.00","635.00","-","-0.16%"
"Apr 17, 2018","636.00","636.00","636.00","636.00","-","-0.31%"
"Apr 16, 2018","638.00","638.00","638.00","638.00","-","-0.31%"
"Apr 13, 2018","640.00","640.00","640.00","640.00","-","0.16%"
"Apr 12, 2018","639.00","639.00","639.00","639.00","-","1.75%"
"Apr 11, 2018","628.00","628.00","628.00","628.00","-","-0.48%"
"Apr 10, 2018","631.00","631.00","631.00","631.00","-","-0.94%"
"Apr 09, 2018","637.00","637.00","637.00","637.00","-","-0.93%"
"Apr 06, 2018","643.00","643.00","643.00","643.00","-","-0.46%"
"Apr 05, 2018","646.00","646.00","646.00","646.00","-","-0.31%"
"Apr 04, 2018","648.00","648.00","648.00","648.00","-","-0.46%"
"Apr 03, 2018","651.00","651.00","651.00","651.00","-","-1.51%"
"Mar 29, 2018","661.00","661.00","661.00","661.00","-","-0.15%"
"Mar 28, 2018","662.00","662.00","662.00","662.00","-","0.00%"
"Mar 27, 2018","662.00","662.00","662.00","662.00","-","0.61%"
"Mar 26, 2018","658.00","658.00","658.00","658.00","-","0.30%"
"Mar 23, 2018","656.00","656.00","656.00","656.00","-","0.61%"
"Mar 22, 2018","652.00","652.00","652.00","652.00","-","0.46%"
"Mar 21, 2018","649.00","649.00","649.00","649.00","-","0.62%"
"Mar 20, 2018","645.00","645.00","645.00","645.00","-","1.42%"
"Mar 19, 2018","636.00","636.00","636.00","636.00","-","0.16%"
"Mar 16, 2018","635.00","635.00","635.00","635.00","-","-0.63%"
"Mar 15, 2018","639.00","639.00","639.00","639.00","-","-0.31%"
"Mar 14, 2018","641.00","641.00","641.00","641.00","-","-0.16%"
"Mar 13, 2018","642.00","642.00","642.00","642.00","-","-0.93%"
"Mar 12, 2018","648.00","648.00","648.00","648.00","-","-0.77%"
"Mar 09, 2018","653.00","653.00","653.00","653.00","-","0.31%"
"Mar 08, 2018","651.00","651.00","651.00","651.00","-","0.46%"
"Mar 07, 2018","648.00","648.00","648.00","648.00","-","-0.92%"
"Mar 06, 2018","654.00","654.00","654.00","654.00","-","-1.51%"
"Mar 05, 2018","664.00","664.00","664.00","664.00","-","-0.75%"
"Mar 02, 2018","669.00","669.00","669.00","669.00","-","1.06%"
"Mar 01, 2018","662.00","662.00","662.00","662.00","-","0.61%"
"Feb 28, 2018","658.00","658.00","658.00","658.00","-","0.00%"
"Feb 27, 2018","658.00","658.00","658.00","658.00","-","0.92%"
"Feb 26, 2018","652.00","652.00","652.00","652.00","-","0.93%"
"Feb 23, 2018","646.00","646.00","646.00","646.00","-","0.16%"
"Feb 22, 2018","645.00","645.00","645.00","645.00","-","0.78%"
"Feb 21, 2018","640.00","640.00","640.00","640.00","-","-0.16%"
"Feb 20, 2018","641.00","641.00","641.00","641.00","-","-0.62%"
"Feb 19, 2018","645.00","645.00","645.00","645.00","-","-0.62%"
"Feb 16, 2018","649.00","649.00","649.00","649.00","-","0.00%"
"Feb 15, 2018","649.00","649.00","649.00","649.00","-","1.09%"
"Feb 14, 2018","642.00","642.00","642.00","642.00","-","0.78%"
"Feb 13, 2018","637.00","637.00","637.00","637.00","-","-0.47%"
"Feb 12, 2018","640.00","640.00","640.00","640.00","-","-0.31%"
"Feb 09, 2018","642.00","642.00","642.00","642.00","-","-0.16%"
"Feb 08, 2018","643.00","643.00","643.00","643.00","-","-0.77%"
"Feb 07, 2018","648.00","648.00","648.00","648.00","-","0.00%"
"Feb 06, 2018","648.00","648.00","648.00","648.00","-","-0.92%"
"Feb 05, 2018","654.00","654.00","654.00","654.00","-","-0.61%"
"Feb 02, 2018","658.00","658.00","658.00","658.00","-","-0.45%"
"Feb 01, 2018","661.00","661.00","661.00","661.00","-","-0.45%"
"Jan 31, 2018","664.00","664.00","664.00","664.00","-","-0.90%"
"Jan 30, 2018","670.00","670.00","670.00","670.00","-","-1.33%"
"Jan 29, 2018","679.00","679.00","679.00","679.00","-","-0.44%"
"Jan 26, 2018","682.00","682.00","682.00","682.00","-","-0.15%"
"Jan 25, 2018","683.00","683.00","683.00","683.00","-","-1.16%"
"Jan 24, 2018","691.00","691.00","691.00","691.00","-","-0.43%"
"Jan 23, 2018","694.00","694.00","694.00","694.00","-","-1.14%"
"Jan 22, 2018","702.00","702.00","702.00","702.00","-","-0.43%"
"Jan 19, 2018","705.00","705.00","705.00","705.00","-","-0.28%"
"Jan 18, 2018","707.00","707.00","707.00","707.00","-","-1.12%"
"Jan 17, 2018","715.00","715.00","715.00","715.00","-","-0.28%"
"Jan 16, 2018","717.00","717.00","717.00","717.00","-","3.46%"
"Jan 15, 2018","693.00","693.00","693.00","693.00","-","1.32%"
"Jan 12, 2018","684.00","684.00","684.00","684.00","-","0.44%"
"Jan 11, 2018","681.00","681.00","681.00","681.00","-","-0.58%"
"Jan 10, 2018","685.00","685.00","685.00","685.00","-","-0.87%"
"Jan 09, 2018","691.00","691.00","691.00","691.00","-","1.32%"
"Jan 08, 2018","682.00","682.00","682.00","682.00","-","0.29%"
"Jan 05, 2018","680.00","680.00","680.00","680.00","-","0.59%"
"Jan 04, 2018","676.00","676.00","676.00","676.00","-","-1.02%"
"Jan 03, 2018","683.00","683.00","683.00","683.00","-","-2.43%"
"Jan 02, 2018","700.00","700.00","700.00","700.00","-","-15.36%"
"Dec 22, 2017","827.00","827.00","827.00","827.00","-","-0.48%"
"Dec 21, 2017","831.00","831.00","831.00","831.00","-","0.73%"
"Dec 20, 2017","825.00","825.00","825.00","825.00","-","0.12%"
"Dec 19, 2017","824.00","824.00","824.00","824.00","-","0.49%"
"Dec 18, 2017","820.00","820.00","820.00","820.00","-","0.61%"
"Dec 15, 2017","815.00","815.00","815.00","815.00","-","0.12%"
"Dec 14, 2017","814.00","814.00","814.00","814.00","-","0.25%"
"Dec 13, 2017","812.00","812.00","812.00","812.00","-","0.00%"
"Dec 12, 2017","812.00","812.00","812.00","812.00","-","-0.25%"
"Dec 11, 2017","814.00","814.00","814.00","814.00","-","0.00%"
"Dec 08, 2017","814.00","814.00","814.00","814.00","-","-1.09%"
"Dec 07, 2017","823.00","823.00","823.00","823.00","-","-0.12%"
"Dec 06, 2017","824.00","824.00","824.00","824.00","-","0.24%"
"Dec 05, 2017","822.00","822.00","822.00","822.00","-","0.12%"
"Dec 04, 2017","821.00","821.00","821.00","821.00","-","0.12%"
"Dec 01, 2017","820.00","820.00","820.00","820.00","-","1.74%"
"Nov 30, 2017","806.00","806.00","806.00","806.00","-","1.51%"
"Nov 29, 2017","794.00","794.00","794.00","794.00","-","-0.63%"
"Nov 28, 2017","799.00","799.00","799.00","799.00","-","0.13%"
"Nov 27, 2017","798.00","798.00","798.00","798.00","-","-1.72%"
"Nov 24, 2017","812.00","812.00","812.00","812.00","-","-0.98%"
"Nov 23, 2017","820.00","820.00","820.00","820.00","-","-0.73%"
"Nov 22, 2017","826.00","826.00","826.00","826.00","-","-0.12%"
"Nov 21, 2017","827.00","827.00","827.00","827.00","-","0.00%"
"Nov 20, 2017","827.00","827.00","827.00","827.00","-","2.22%"
"Nov 17, 2017","809.00","809.00","809.00","809.00","-","2.41%"
"Nov 16, 2017","790.00","790.00","790.00","790.00","-","0.38%"
"Nov 15, 2017","787.00","787.00","787.00","787.00","-","-0.38%"
"Nov 14, 2017","790.00","790.00","790.00","790.00","-","-0.75%"
"Nov 13, 2017","796.00","796.00","796.00","796.00","-","-0.87%"
"Nov 10, 2017","803.00","803.00","803.00","803.00","-","0.12%"
"Nov 09, 2017","802.00","802.00","802.00","802.00","-","-0.62%"
"Nov 08, 2017","807.00","807.00","807.00","807.00","-","-0.86%"
"Nov 07, 2017","814.00","814.00","814.00","814.00","-","-0.73%"
"Nov 06, 2017","820.00","820.00","820.00","820.00","-","-2.73%"
"Nov 03, 2017","843.00","843.00","843.00","843.00","-","-1.40%"
"Nov 02, 2017","855.00","855.00","855.00","855.00","-","-1.38%"
"Nov 01, 2017","867.00","867.00","867.00","867.00","-","-0.46%"
"Oct 31, 2017","871.00","871.00","871.00","871.00","-","-3.65%"
"Oct 30, 2017","904.00","904.00","904.00","904.00","-","-1.09%"
"Oct 27, 2017","914.00","914.00","914.00","914.00","-","-0.65%"
"Oct 26, 2017","920.00","920.00","920.00","920.00","-","0.88%"
"Oct 25, 2017","912.00","912.00","912.00","912.00","-","1.22%"
"Oct 24, 2017","901.00","901.00","901.00","901.00","-","0.22%"
"Oct 23, 2017","899.00","899.00","899.00","899.00","-","0.33%"
"Oct 20, 2017","896.00","896.00","896.00","896.00","-","-0.67%"
"Oct 19, 2017","902.00","902.00","902.00","902.00","-","-0.55%"
"Oct 18, 2017","907.00","907.00","907.00","907.00","-","-0.98%"
"Oct 17, 2017","916.00","916.00","916.00","916.00","-","0.33%"
"Oct 16, 2017","913.00","913.00","913.00","913.00","-","1.11%"
"Oct 13, 2017","903.00","903.00","903.00","903.00","-","3.79%"
"Oct 12, 2017","870.00","870.00","870.00","870.00","-","1.64%"
"Oct 11, 2017","856.00","856.00","856.00","856.00","-","4.65%"
"Oct 10, 2017","818.00","818.00","818.00","818.00","-","4.47%"
"Oct 09, 2017","783.00","783.00","783.00","783.00","-","0.90%"
"Oct 06, 2017","776.00","776.00","776.00","776.00","-","1.31%"
"Oct 05, 2017","766.00","766.00","766.00","766.00","-","0.79%"
"Oct 04, 2017","760.00","760.00","760.00","760.00","-","0.26%"
"Oct 03, 2017","758.00","758.00","758.00","758.00","-","-2.19%"
"Oct 02, 2017","775.00","775.00","775.00","775.00","-","-0.13%"
"Sep 29, 2017","776.00","776.00","776.00","776.00","-","-0.77%"
"Sep 28, 2017","782.00","782.00","782.00","782.00","-","-0.13%"
"Sep 27, 2017","783.00","783.00","783.00","783.00","-","0.38%"
"Sep 26, 2017","780.00","780.00","780.00","780.00","-","-0.13%"
"Sep 25, 2017","781.00","781.00","781.00","781.00","-","1.17%"
"Sep 22, 2017","772.00","772.00","772.00","772.00","-","1.58%"
"Sep 21, 2017","760.00","760.00","760.00","760.00","-","1.20%"
"Sep 20, 2017","751.00","751.00","751.00","751.00","-","1.49%"
"Sep 19, 2017","740.00","740.00","740.00","740.00","-","-0.54%"
"Sep 18, 2017","744.00","744.00","744.00","744.00","-","0.00%"
"Sep 15, 2017","744.00","744.00","744.00","744.00","-","0.68%"
"Sep 14, 2017","739.00","739.00","739.00","739.00","-","0.96%"
"Sep 13, 2017","732.00","732.00","732.00","732.00","-","0.97%"
"Sep 12, 2017","725.00","725.00","725.00","725.00","-","1.40%"
"Sep 11, 2017","715.00","715.00","715.00","715.00","-","1.13%"
"Sep 08, 2017","707.00","707.00","707.00","707.00","-","0.86%"
"Sep 07, 2017","701.00","701.00","701.00","701.00","-","0.29%"
"Sep 06, 2017","699.00","699.00","699.00","699.00","-","0.14%"
"Sep 05, 2017","698.00","698.00","698.00","698.00","-","1.01%"
"Sep 04, 2017","691.00","691.00","691.00","691.00","-","1.32%"
"Sep 01, 2017","682.00","682.00","682.00","682.00","-","0.74%"
"Aug 31, 2017","677.00","677.00","677.00","677.00","-","1.50%"
"Aug 30, 2017","667.00","667.00","667.00","667.00","-","1.21%"
"Aug 29, 2017","659.00","659.00","659.00","659.00","-","2.49%"
"Aug 25, 2017","643.00","643.00","643.00","643.00","-","2.55%"
"Aug 24, 2017","627.00","627.00","627.00","627.00","-","1.13%"
